id_job,gpu_id,avgmemoryutilization_pct,avgsmutilization_pct,memoryutilization_pct_avg,pcierxbandwidth_megabytes_avg,pcietxbandwidth_megabytes_avg,totalexecutiontime_sec,powerusage_watts_avg
964768373,0,2.0,5.0,2.0,163.0,126.0,1507.36,46.6747
964768373,0,0.0,3.0,0.0,139.0,160.0,1507.36,40.0174
964768373,1,3.0,7.0,3.0,204.0,145.0,1507.39,50.6698
964768373,0,2.0,5.0,2.0,166.0,128.0,1507.39,43.7441
964768373,1,4.0,8.0,4.0,504.0,1098.0,1507.37,48.07
964768373,0,2.0,5.0,2.0,356.0,518.0,1507.41,44.3707
1217199708,1,5.0,18.0,6.0,2023.0,523.0,691215.0,62.4244
1217199708,1,5.0,18.0,6.0,2013.0,503.0,691215.0,65.1317
1217199708,0,5.0,18.0,6.0,2024.0,475.0,691215.0,62.073
1217199708,0,5.0,18.0,6.0,2022.0,522.0,691215.0,67.2475
1217199708,1,5.0,18.0,6.0,1967.0,463.0,691215.0,63.2231
1217199708,0,5.0,18.0,6.0,2025.0,505.0,691215.0,62.3791
1217199708,1,5.0,18.0,6.0,2002.0,516.0,691215.0,64.7572
1217199708,0,5.0,18.0,6.0,2016.0,485.0,691215.0,62.0685
1217199708,1,5.0,18.0,6.0,2030.0,516.0,691215.0,64.394
1217199708,0,5.0,18.0,6.0,1998.0,477.0,691215.0,61.8076
1217199708,1,5.0,18.0,6.0,1979.0,503.0,691215.0,61.5324
1217199708,0,5.0,18.0,6.0,2003.0,478.0,691215.0,62.3983
1217199708,1,5.0,18.0,6.0,2064.0,526.0,691215.0,62.5573
1217199708,0,5.0,17.0,6.0,922.0,1453.0,691215.0,64.5962
1217199708,0,5.0,18.0,6.0,1974.0,447.0,691213.0,60.8932
1217199708,1,5.0,17.0,6.0,911.0,1386.0,691213.0,60.8091
1275365569,1,0.0,0.0,0.0,1970.0,1530.0,213.51,26.8967
1275365569,1,0.0,0.0,0.0,1858.0,1764.0,213.52,25.2652
1275365569,1,0.0,0.0,0.0,1622.0,1734.0,213.53,26.6036
1275365569,0,0.0,0.0,0.0,52.0,982.0,213.51,27.3725
1275365569,0,0.0,0.0,0.0,323.0,1072.0,213.52,25.405
1275365569,0,0.0,0.0,0.0,1161.0,16.0,213.53,26.0736
1275365569,1,0.0,0.0,0.0,1491.0,2119.0,213.52,27.8777
1275365569,1,0.0,0.0,0.0,1920.0,1284.0,213.51,27.9652
1275365569,0,0.0,0.0,0.0,1853.0,1201.0,213.52,26.4718
1275365569,0,0.0,0.0,0.0,228.0,1215.0,213.51,27.4352
1275365569,1,0.0,0.0,0.0,1208.0,121.0,213.51,26.4129
1275365569,0,0.0,0.0,0.0,550.0,244.0,213.51,26.0717
1275365569,0,0.0,0.0,0.0,1327.0,279.0,213.52,29.2332
1275365569,1,0.0,0.0,0.0,87.0,1483.0,213.51,25.923
1275365569,0,0.0,0.0,0.0,1858.0,1051.0,213.51,25.9674
1275365569,1,0.0,0.0,0.0,1012.0,885.0,213.52,25.1928
